Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
94,Zetacoin,ZET,0.00270866,516.82281494,445438.33316946,164449676.604849,164449676.604849,,-0.0371703,-4.43014,2.58185,2013-09-11T00:00:00.000Z,2024-09-23
95,Diem,DIEM,1.945e-05,6744.52734375,422830.25128806,21739971929.0816,21739971929.0816,,-0.374133,12.9553,58.2025,2014-04-28T00:00:00.000Z,2024-09-23
96,Verge,XVG,3.314e-05,1737.41015625,398052.19806235,12010612500.0,12010612500.0,16555000000.0,0.0497539,10.8456,29.6852,2014-10-25T00:00:00.000Z,2024-09-23
97,CloakCoin,CLOAK,0.07975888,1848.77307129,381908.01081228,4788282.313003,4788282.313003,,-0.85081,-1.86439,-0.323863,2014-06-07T00:00:00.000Z,2024-09-23
98,Bitswift,BITS,0.09060971,1812.75671387,366911.50617005,4049362.02276899,4049362.02276899,,-0.825167,7.72488,34.7062,2014-10-05T00:00:00.000Z,2024-09-23
99,Mineum,MNM,0.03889069,512.03771973,363459.51396608,9345669.93830176,9495669.93830176,,-0.838506,88.5433,71.1773,2016-06-08T00:00:00.000Z,2024-09-23
100,DubaiCoin,DBIC,0.06157825,2312.28125,363078.04357695,5896206.16306659,5896206.16306659,,-0.610355,-0.881067,-10.5455,2016-03-07T00:00:00.000Z,2024-09-23
101,Blocknet,BLOCK,0.08934662,865.00036621,349391.43636128,3910516.33690673,3910516.33690673,,-0.849135,3.25308,38.5036,2014-11-01T00:00:00.000Z,2024-09-23
102,Burst,BURST,0.00022539,5918.890625,336568.02597711,1493248336.0,1493248336.0,2158812800.0,-2.90296,-19.3179,26.6702,2014-08-30T00:00:00.000Z,2024-09-23
103,Riecoin,RIC,0.01345335,2265.61401367,332060.57067605,24682374.9999263,24682374.9999263,,-0.206371,-7.41836,4.04069,2014-02-27T00:00:00.000Z,2024-09-23
104,FLO,FLO,0.00258778,4617.55322266,321395.34357852,124197561.0,124197561.0,160000000.0,-1.32033,-10.4924,-34.9789,2013-11-27T00:00:00.000Z,2024-09-23
105,BTSR,BTSR,0.13988523,721.60900879,315818.3093182,2257695.8635,10600000.0,,-1.0857,143.745,205.804,2016-03-22T00:00:00.000Z,2024-09-23
106,NuBits,USNBT,0.41411912,2758.10400391,313522.96318674,757084.0,2832905.1498,,-0.998331,-21.3947,122.059,2014-09-24T00:00:00.000Z,2024-09-23
107,SecureCoin,SRC,0.04942716,840.58618164,291208.78277822,5891675.95,5891675.95,,2.8125,-0.326145,-0.693386,2013-09-28T00:00:00.000Z,2024-09-23
