Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date,halving_survive
821,zKML,ZKML,$0.1951,0.28%,11.38%,29.35%,"$18,212,169","$91,901
471,166 ZKML","93,371,600 ZKML",100000000.0,100000000.0,0,,,,,,,886.0,2024-09-23,0
830,Botto,BOTTO,$0.3706,0.95%,18.71%,20.92%,"$17,682,691","$741,427
1,998,989 BOTTO","47,712,015 BOTTO",100000000.0,100000000.0,0,,,,,,,660.0,2024-09-23,0
833,Vectorspace AI,VXV,$0.3547,0.90%,3.47%,15.64%,"$17,565,017","$57,101
160,962 VXV","49,517,054 VXV",50000000.0,,0,,,,,2184.0,2941.0,671.0,2024-09-23,1
858,NuNet,NTX,$0.03215,0.43%,1.03%,9.71%,"$16,206,368","$116,617
3,624,053 NTX","504,084,665 NTX",1037999500.0,1000000000.0,0,,,,,,,783.0,2024-09-23,0
875,Only1,LIKE,$0.04608,1.41%,10.35%,17.64%,"$15,259,178","$814,329
17,654,007 LIKE","331,159,918 LIKE",500000000.0,,0,,,,,,,673.0,2024-09-23,0
883,Volt Inu,VOLT,$0.062711,0.59%,0.89%,13.66%,"$14,847,131","$80,169
295,732,397,714 VOLT","54,766,287,142,827 VOLT",69000000000000.0,69000000000000.0,0,,,,,,,812.0,2024-09-23,0
887,QnA3.AI,GPT,$0.09653,0.89%,1.57%,20.61%,"$14,841,467","$1,681,637
17,430,340 GPT","153,749,940 GPT",1000000000.0,1000000000.0,0,,,,,,,2536.0,2024-09-23,0
895,Lumerin,LMR,$0.02388,0.66%,8.98%,44.09%,"$14,485,209","$281,948
11,794,535 LMR","606,615,000 LMR",1000000000.0,,0,,,,,,,713.0,2024-09-23,0
901,Gaimin,GMRX,$0.0009085,0.19%,0.44%,2.48%,"$14,281,788","$122,707
135,073,630 GMRX","15,720,576,054 GMRX",100000000000.0,,0,,,,,,,584.0,2024-09-23,0
907,Apeiron,APRS,$0.164,0.62%,6.87%,9.30%,"$14,368,108","$4,253,195
26,314,319 APRS","87,630,814 APRS",1000000000.0,1000000000.0,0,,,,,,,2491.0,2024-09-23,0
934,iMe Lab,LIME,$0.03042,0.08%,3.38%,12.94%,"$13,162,907","$3,967,761
130,312,877 LIME","432,774,153 LIME",998979500.0,,0,,,,,,,681.0,2024-09-23,0
952,HyperGPT,HGPT,$0.02139,0.26%,7.69%,13.79%,"$12,484,086","$2,052,825
95,988,282 HGPT","583,625,238 HGPT",997742373.0,1000000000.0,0,,,,,,,2527.0,2024-09-23,0
953,HotKeySwap,HOTKEY,$0.2928,1.75%,32.06%,55.42%,"$12,478,612","$429,726
1,467,864 HOTKEY","42,625,226 HOTKEY",95000000.0,100000000.0,0,,,,,,,4280.0,2024-09-23,0
955,DeepBrain Chain,DBC,$0.002292,0.22%,4.37%,11.95%,"$12,443,180","$175,678
76,704,688 DBC","5,428,952,299 DBC",10000000000.0,10000000000.0,0,,,,,496.0,1016.0,861.0,2024-09-23,1
964,Ooki Protocol,OOKI,$0.001369,0.45%,2.17%,9.75%,"$12,016,145","$1,269,809
927,555,429 OOKI","8,777,418,567 OOKI",9109333138.58554,10500000000.0,0,,,,,,,1052.0,2024-09-23,0
979,Openfabric AI,OFN,$0.1117,0.74%,33.42%,25.20%,"$11,721,586","$529,190
4,737,050 OFN","105,030,527 OFN",500000000.0,500000000.0,0,,,,,,,683.0,2024-09-23,0
1005,Atlas Navi,NAVI,$0.1162,1.53%,4.23%,7.34%,"$11,005,471","$149,373
1,285,157 NAVI","94,675,092 NAVI",300000000.0,300000000.0,0,,,,,,,927.0,2024-09-23,0
1004,Three Protocol Token,THREE,$0.1294,3.27%,32.19%,34.42%,"$11,001,297","$700,398
5,409,973 THREE","85,000,000 THREE",100000000.0,,0,,,,,,,,2024-09-23,0
