name,symbol,cmcRank,circulatingSupply,totalSupply,maxSupply,dateAdded,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d
Bitbook Gambling,BXK,116,357687491.4,730756054.4,,2019-06-24T00:00:00.000Z,0.13766026,357722.89434915,49239354.77282954,-0.208516,-2.04007,5.91991
Poseidon Network,QQQ,117,2153075306.6,21000000000.0,,2019-09-17T00:00:00.000Z,0.02275382,693355.18246469,48990680.17718145,0.665595,2.60405,-8.24183
MaidSafeCoin,MAID,118,452552412.0,452552412.0,,2014-04-28T00:00:00.000Z,0.10599203,402025.20824296,47966947.47569209,-0.425245,-0.626152,3.89143
Decentraland,MANA,119,1370165255.67155,2197909865.03415,,2017-09-17T00:00:00.000Z,0.03458096,16629261.969439,47381632.34044301,-0.872988,-6.25775,14.2248
IOST,IOST,120,12013965608.8475,21000000000.0,,2018-01-16T00:00:00.000Z,0.00381059,29208646.8522949,45780323.77025378,-0.305469,-3.83393,6.06388
Breezecoin,BRZE,121,100000000.0,200000000.0,200000000.0,2018-10-29T00:00:00.000Z,0.45735872,324148.71747285,45735871.9813,-0.457073,1.25395,10.9494
Streamr DATAcoin,DATA,122,677154514.0,987154514.0,,2017-11-03T00:00:00.000Z,0.0672339,7456068.90313795,45527740.04082174,-1.99643,-9.45718,41.2613
ERC20,ERC20,123,1128728707.13418,12999999998.02,,2017-11-09T00:00:00.000Z,0.04020554,70590.08594372,45381147.26171384,-1.55631,-6.79698,-4.56246
Golem,GNT,124,980050000.0,1000000000.0,,2016-11-18T00:00:00.000Z,0.04460081,2906322.07879335,43711020.21705914,0.667464,-3.53489,5.64789
Unibright,UBT,125,148594999.243493,150000000.0,,2018-05-21T00:00:00.000Z,0.29368208,2579292.27902094,43639688.33982054,-3.12742,-13.2394,-1.42713
PAX Gold,PAXG,126,25497.096,25497.096,,2019-09-26T00:00:00.000Z,1706.99932699,129869.61157754,43523525.71219943,0.210699,-0.695875,-1.64735
Blockstack,STX,127,397587905.087678,631511271.087678,2048913388.0,2019-10-28T00:00:00.000Z,0.1059176,331640.43371047,42111556.49195205,-0.719122,-5.76214,-3.84453
Zcoin,XZC,128,10034568.329778,21400000.0,21400000.0,2016-10-06T00:00:00.000Z,4.18978305,16966089.5563318,42042664.26413966,0.0614256,-3.89671,2.67233
STEM CELL COIN,SCC,129,320658118.0,5000000000.0,5000000000.0,2019-03-01T00:00:00.000Z,0.13066424,174125.82607526,41898550.45004468,-4.4492,-8.56657,18.5901
Beldex,BDX,130,980222595.0,1400222610.46736,,2019-06-07T00:00:00.000Z,0.04103154,117195.57504714,40220041.65689058,-1.0876,-5.60742,-4.48154
Ardor,ARDR,131,998999495.0,998999495.0,998999495.0,2016-07-23T00:00:00.000Z,0.03978283,2681021.21663618,39743022.89186497,-0.716936,-3.33212,6.75192
VestChain,VEST,132,7520800000.0,8848000000.0,,2018-11-15T00:00:00.000Z,0.0052446,52738.99648514,39443620.47565173,-0.201166,-2.14058,13.9298
aelf,ELF,133,544480199.986466,879999999.986466,1000000000.0,2017-12-21T00:00:00.000Z,0.07243718,17360102.0024727,39440610.88472492,-0.927819,-5.823,5.58591
WAX,WAXP,134,1132677216.08672,3650974045.82822,,2017-12-21T00:00:00.000Z,0.03477609,2225717.48300025,39390087.13693192,-0.00479068,-5.64191,15.8813
Digitex Futures,DGTX,135,820850000.0,1000000000.0,,2018-05-23T00:00:00.000Z,0.04630985,1574415.02941664,38013443.71294908,-0.817315,-5.05157,3.54425
WaykiChain,WICC,136,189000000.0,210000000.0,,2018-01-09T00:00:00.000Z,0.19980681,7212696.35878033,37763486.246304,12.2644,20.372,27.3693
Aeternity,AE,137,309063818.5,354884762.49932,,2017-06-01T00:00:00.000Z,0.11862117,9739571.3799405,36661510.64158071,1.7188,1.40944,10.1279
Aion,AION,138,420047526.0,420047526.0,,2017-10-18T00:00:00.000Z,0.08710928,4475860.81919887,36590039.39830577,-0.905791,-3.8894,6.83323
Swipe,SXP,139,62905864.079,299969953.079,,2019-08-26T00:00:00.000Z,0.57535575,5898216.12537865,36193250.43924151,1.41099,-2.43535,-1.24944
Loopring,LRC,140,1052356480.37201,1374813985.1631,,2017-08-30T00:00:00.000Z,0.03437886,1903910.2646462,36178813.44581401,-0.773235,-3.44695,6.95373
WhiteCoin,XWC,141,250183629.19257,250183629.19257,,2014-04-18T00:00:00.000Z,0.14276188,2740116.95918835,35716684.84545817,-1.32291,-0.183086,15.6182
Ripio Credit Network,RCN,142,507847856.76109,999942647.35309,,2017-10-26T00:00:00.000Z,0.07016517,301237.98505473,35633230.21753699,-0.603335,-2.09344,-0.390241
Insolar,XNS,143,40000000.0,1000000000.0,1000000000.0,2018-01-11T00:00:00.000Z,0.88597351,1056398.74623629,35438940.59052,-0.114897,1.21677,-0.833197
RSK Infrastructure Framework,RIF,144,591113346.592914,1000000000.0,,2019-01-16T00:00:00.000Z,0.05985407,6300735.98639166,35380540.41924465,-0.251213,-5.8745,10.5528
PRIZM,PZM,145,1015701819.01,6000000000.0,,2017-05-19T00:00:00.000Z,0.03467424,596985.08662531,35218684.39353058,-1.02029,-10.1626,-32.5302
Handshake ,HNS,146,269394147.368,269394147.368,2040000000.0,2020-02-22T00:00:00.000Z,0.1298112,5598187.75199059,34970377.41862622,-0.257612,0.811431,7.92326
Chiliz,CHZ,147,4567138626.0,8888888888.0,,2019-07-01T00:00:00.000Z,0.00764708,2928613.3485895,34925295.00121408,-0.269186,-2.51514,11.2702
STASIS EURO,EURS,148,31979207.0,31979207.0,,2018-07-30T00:00:00.000Z,1.09113221,569365.43006622,34893542.73376571,-0.128337,-0.918736,0.88537
CyberVein,CVT,149,1060404495.65,2147483648.0,,2018-04-17T00:00:00.000Z,0.03248477,2706325.59783048,34446992.66324291,0.360532,-5.88353,15.8158
Power Ledger,POWR,150,430020728.069275,999785291.0,,2017-11-01T00:00:00.000Z,0.07995014,5003645.12915827,34380218.48812433,2.92275,-2.56481,28.2993
Electroneum,ETN,151,10086106121.09,10086106121.09,21000000000.0,2017-11-02T00:00:00.000Z,0.00340685,168642.20247749,34361812.84811392,-0.755853,-3.02677,45.9247
BHEX Token,BHT,152,284347544.111632,1446399044.11163,,2019-08-25T00:00:00.000Z,0.11817613,2200061.51489779,33603092.63326971,-0.294157,1.55246,46.8732
Stratis,STRAT,153,99784041.1700453,99784041.1700453,,2016-08-12T00:00:00.000Z,0.3304532,998844.60184091,32973955.7699512,-0.460595,-0.83389,4.16673
GAPS,GAP,154,10000000.0,100000000.0,,2019-09-23T00:00:00.000Z,3.24049869,7167765.78492588,32404986.9332,0.767007,-1.21395,4.68521
Thunder Token,TT,155,5453843247.11582,10000000000.0,10000000000.0,2019-05-10T00:00:00.000Z,0.00578179,2506072.69751735,31532956.74706546,-0.358617,-4.59251,-2.96247
Aragon,ANT,156,32100980.7434845,39609523.8095238,,2017-05-18T00:00:00.000Z,0.97360854,310865.26536677,31253788.86380578,-0.626984,-2.37337,-3.63747
Pundi X,NPXS,157,234577965991.748,258585117895.87,,2018-03-22T00:00:00.000Z,0.00012775,2962488.03035684,29967334.88263163,-1.62629,-2.04871,6.97815
Huobi Pool Token,HPT,158,5003956685.866,9857056686.326,,2019-02-01T00:00:00.000Z,0.0058097,2075992.20678038,29071470.78082618,-0.435338,-3.24455,10.9342
USDK,USDK,159,28600072.0,28600072.0,,2019-07-29T00:00:00.000Z,1.00135734,25200007.9519711,28638891.97911438,-0.24687,-0.058985,0.0593741
Celsius,CEL,160,238863519.826,695658160.967,,2018-05-18T00:00:00.000Z,0.11924824,194395.34585872,28484055.24761471,-0.282989,-5.00006,10.8136
Vitae,VITAE,161,19471178.434822,19731055.9795686,100000000.0,2018-08-14T00:00:00.000Z,1.46174169,343478.31227907,28461833.2077428,-0.130413,-5.5373,-0.154365
Gatechain Token,GT,162,63080217.0714006,300000000.0,,2019-08-20T00:00:00.000Z,0.45038158,4989854.12110857,28410167.5526089,-0.347357,-2.44669,0.38299
GXChain,GXC,163,65000000.0,99898145.30746,100000000.0,2017-06-25T00:00:00.000Z,0.4297857,10084227.9417739,27936070.330805,-0.0936143,-3.95604,0.968375
Qubitica,QBIT,164,808674.902799999,10000000.0,,2018-08-28T00:00:00.000Z,34.46449623,130622.36114268,27870573.14224261,0.0909465,-3.2967,2.4549
ReddCoin,RDD,165,28808713173.7887,28808713173.7887,,2014-02-10T00:00:00.000Z,0.00091633,592875.36248753,26398282.67239696,-14.3572,-5.78846,4.03097
Elastos,ELA,166,18417951.8556951,36133628.7669808,,2018-01-31T00:00:00.000Z,1.4224164,3385984.08962824,26197996.78352848,1.78723,-0.819273,-4.18357
iExec RLC,RLC,167,80070793.2387674,86999784.9868455,,2017-04-20T00:00:00.000Z,0.32619538,579816.50304696,26118722.78842669,-0.714024,-5.82614,-3.18518
BitForex Token,BF,168,4253496636.23833,10000000000.0,,2019-08-30T00:00:00.000Z,0.00611511,13615214.9134391,26010606.26127392,-0.205212,-3.08374,11.1101
BitMax Token,BTMX,169,660615274.0,780615274.0,,2019-01-08T00:00:00.000Z,0.03932329,2214347.24879058,25977568.18555894,0.169599,0.276871,-4.95678
FABRK,FAB,170,4794443396.5564,55000000000.0,,2019-09-12T00:00:00.000Z,0.00540118,299459.79344407,25895628.39616694,0.366473,3.44219,0.747867
Super Zero,SERO,171,258269800.0,644907626.0,647367590.0,2019-07-19T00:00:00.000Z,0.1001344,16393398.8431039,25861692.5019473,0.317077,2.21222,23.6515
TomoChain,TOMO,172,70551400.0,100000000.0,,2018-03-08T00:00:00.000Z,0.35846603,16338853.3009409,25290280.07139808,-0.166273,-4.88121,1.8276
Crypterium,CRPT,173,99569555.3718727,99569555.3718727,,2018-01-22T00:00:00.000Z,0.24293925,128402.40108658,24189353.48861729,-0.46932,1.61369,-1.72898
Project Pai,PAI,174,1463194793.0,1671049500.0,,2018-07-05T00:00:00.000Z,0.01623582,1743529.79558547,23756168.75342547,0.171793,-8.14857,17.9347
Ark,ARK,175,120565119.327954,149166016.0,,2017-03-22T00:00:00.000Z,0.19428236,1471898.02780931,23423675.73333697,-0.36867,-2.0525,5.9754
SOLVE,SOLVE,176,340458750.710715,1000000000.0,1000000000.0,2019-02-04T00:00:00.000Z,0.06854088,1736966.03797816,23335341.0550372,0.305308,-2.19991,8.34298
